0	6	5	3	2	4	2	4	1	1	6	3	3	0	5	0	6	5	7	1	7	2	0	0
1	7	4	2	3	0	0	5	5	3	2	7	1	2	1	4	4	7	6	0	3	6	5	6
2	4	7	1	6	6	3	0	3	0	7	2	7	4	4	1	2	1	3	5	5	0	6	5
3	5	6	0	7	2	1	1	7	2	3	6	5	6	0	5	0	3	2	4	1	4	4	7
4	2	1	7	0	5	6	6	0	5	4	1	2	1	7	2	7	4	5	3	6	3	3	0
5	3	0	6	1	1	4	7	4	7	0	5	0	3	3	6	5	6	4	2	2	7	1	2
6	0	3	5	4	7	7	2	2	4	5	0	6	5	6	3	3	0	1	7	4	1	2	1
7	1	2	4	5	3	5	3	6	6	1	4	4	7	2	7	1	2	0	6	0	5	0	3
8	13	9	12	12	10	16	9	11	17	14	15	17	16	11	10	19	18	13	8	15	14	18	19
9	12	8	13	8	11	19	13	10	18	10	11	16	17	15	14	18	19	9	13	14	15	17	16
10	14	11	15	16	9	14	19	8	11	19	17	12	8	18	16	13	9	18	17	13	12	15	10
11	15	10	14	17	8	10	18	9	15	16	18	8	12	17	19	9	13	19	16	12	13	11	14
12	9	13	8	13	14	17	8	15	16	15	14	18	19	10	11	16	17	12	9	11	10	19	18
13	8	12	9	9	15	18	12	14	19	11	10	19	18	14	15	17	16	8	13	10	11	16	17
14	10	15	11	19	13	15	16	12	10	18	16	13	9	19	17	12	8	17	18	9	8	14	11
15	11	14	10	18	12	11	17	13	14	17	19	9	13	16	18	8	12	16	19	8	9	10	15
16	19	18	17	14	19	12	10	17	8	13	12	15	10	9	8	14	11	15	11	18	16	13	9
17	18	19	16	15	16	8	11	18	12	12	13	11	14	8	9	10	15	14	10	17	19	9	13
18	17	16	19	11	17	9	15	19	13	8	9	10	15	12	13	11	14	10	14	16	18	8	12
19	16	17	18	10	18	13	14	16	9	9	8	14	11	13	12	15	10	11	15	19	17	12	8
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
